aal ale
kelche chalices
kelle dipper
kellen dippers
keller cellar
kellner butlers
kellnerin waitress
kellnerinnen waitresses
kennen know
kennend knowing
kenner connoisseur
kenntnis knowledge
kennzeichen badges
kennzeichnen signify
kennzeichnet indents
kentern capsize
kenternd capsizing
kentert capsizes
kerbe dent
kerbend nicking
kerbt nicks
kerker dungeon
kerl guy
kerle guys
kern core
kern- nuclear
kerne cores
kernlos seedless
kernpunkt nub
kernpunkte quintessences
kernstuecke nubs
kerze candle
kerzen candles
kessel boiler
kette catena
ketzerei heresy
keuchen gasp
keuchend gasping
keucht gaspes
keuchte panted
keuschheit chastity
kibitz kibitzer
kibitze kibitzers
kichern chuckle
kichernd chuckling
kichert chuckles
kiefer jaw
kiefern pines
kiel keel
kieme gill
kiemen gills
kies gravel
kieselstein pebble
kieselsteine pebbles
kind child
kinder children
kindermaedchen nannies
kinderzimmer nurseries
kindheit childhood
kindheiten infancies
kindisch infantile
kindische boyish
kindlich childishly
kindliche childish
kinn chin
kino cinema
kinos cinemas
kippen cant
kippend canting
kippt cants
kirche church
kirchen churches
kirchhoefe churchyards
kirchhof churchyard
kirchlich clerical
kirchtuerme steeples
kirchturm steeple
kirsche cherry
kirschen cherries
kissen cushion
kisten chests
kitschig tawdrily
kitten putty
kittend puttying
kittet putties
kitzeln tickle
kitzelnd tickling
kitzelt tickles
kitzlig ticklish
klaeffend yelping
klaefft yelps
klaeffte yelped
klaeger plaintiff
klaeglich deplorable
klaeren clarify
klaert clears
klaerung clarification
klaerungen clearances
klage lament
klagen bewail
klagend bewailing
klaglos unrepining
klagt bewails
klagte lamented
klammer brace
klammern clamp
klammernd clasping
klammert clamps
klammerte clung
klangvoll melodious
klappen flap
klappern clatter
klappernd clattering
klapperschlange rattlesnake
klapperschlangen rattlesnakes
klappert clatters
klappt flips
klaps dab
klapse dabs
klar clear
klare lucid
klarheit clarity
klarheiten clarities
klasse class
klassen classes
klassifizieren classify
klassifizierend classifying
klassisch classic
klatschbase telltale
klatschbasen telltales
klatschen clap
klatschend clapping
klatscht claps
klaue claw
klauen claws
klavier piano
klaviere pianos
kleben paste
klebrig glutinous
klecks blot
kleckse blots
klee trefoil
kleeblaetter shamrocks
kleeblatt shamrock
kleid dress
kleiden clothe
kleider clothes
kleiderschrank wardrobe
kleidet endues
kleidung clothing
kleie bran
klein little
kleiner less
kleinigkeit trifle
kleinschrift lowercase
kleinstcomputer minicomputer
kleinste smallest
kleinverkauf retail
klemmt jams
klempner plumber
klettern clamber
kletternd clambering
klettert clambers
klick click
klickend clicking
klima climate
klimpern thrum
klimpernd thrumming
klimpert thrums
klinge blade
klingel bell
klingeln jingle
klingelnd jingling
klingelt jingles
klingen clink
klingend clinking
klingt clinkers
klinker clinker
klirren clang
klirrend clanking
klirrt clangs
klirrte clashed
kloester monasteries
kloetze chumps
klopfen palpitate
klopfend palpitating
klopfer beater
klopft palpitates
klopfte palpitated
kloster monastry
klotz chump
kluempchen clot
klug clever
klugheit cleverness
klumpen clump
klumpig lumpish
knabe boy
knall bang
knapp barely
knastbruder jailbird
knastbrueder jailbirds
knauserig ungenerous
knebelnd gagging
knechte menials
kneifen nip
kneifend nipping
kneift nips
kneifzange pincers
kneipe pub
kneipen pubs
kneten knead
knetend kneading
knetet kneads
knie knee
knieend kneeing
kniehosen breeches
knien kneel
kniet knees
kniff knack
knirps tot
knirpse tots
knirschen gnash
knirschend gnashing
knirscht gnashes
knoblauch garlic
knochen bone
knoechel ankle
knoecherne bony
knoepfe knobs
knolle bulb
knollen tubers
knopf button
knorpel cartilage
knospe bud
knoten knot
knoten- nodal
knotend knotting
knotet knots
knotig knotty
knueppel bludgeon
knurren growl
knurrend snarling
knurrt snarls
knusprig crisp
knutschend petting
kobold elf
kobolde elfs
kochen boil
kochend boiling
kocher boiler
kochnische kitchenette
kochplatte boilerplate
kocht boils
kochtoepfe saucepans
kochtopf saucepan
koeder bait
koedern decoy
koedernd decoying
koedert lures
koenig king
koenige kings
koenigin queen
koeniglich kinglike
koenigreich kingdom
koenigreiche kingdoms
koennen can
koennte could
koepfe heads
koepfen behead
koepft decapitates
koerbe baskets
koernchen granule
koernen granulate
koernend granulating
koerner grains
koernt granulates
koerper bodies
koerperbau physique
koerperlich bodily
koerperschaft corporation
koestlich delicious
koeter tyke
koffer bag
kohl cabbage
kohle coal
kohlen coals
koje bunk
kojen bunks
kokospalme coco
kolben piston
kolben- reciproating
kolibri hummingbird
kolik colic
koliken colics
kollege colleague
kollegen colleagues
koller tantrum
kollision collision
kollisionen collisions
kolonialwarenhaendler grocer
kolonie colony
kombination combination
kombinationen combinations
kombinieren combinate
kombinierend combining
kombiniert combined
kombuese caboose
kombuesen cabooses
komfort comfort
komfortabel comfortably
komfortable comfortable
komfortabler comfortablier
komisch comic
komission comission
komissionen comissions
komma comma
kommata commas
kommen come
kommend coming
kommentar commentary
kommentare comments
kommentieren annotate
kommentiert commented
kommentierte annotated
kommerziell commercial
kommt comes
kommunikation communication
kommunikationen communications
kommunismus communism
kommunizieren comunicate
kommunizierte communicated
komoedie comedy
komoedien comedies
kompakt compact
kompaktheit compactness
kompass compass
kompatibel compatible
kompatibilitaet compatibility
kompatible compatibles
kompensation compensation
kompensieren compensate
kompensiert compensated
komplex complex
komplikation complication
kompliment compliment
komplize accomplice
komplizen accomplices
kompliziert complicated
komponente component
komponenten components
kompression compression
kompressor compressor
komprimieren compress
komprimierend compressing
komprimiert compressed
komprimierte squeezed
kompromiss compromise
kompromisslos uncompromising
kondensieren condense
kondolieren condole
kondolierend condoling
kondoliert condoles
kondolierte condoled
konfekt confection
konferenz conference
konferenzen conferences
konfiguration configuaration
konfigurationen configurations
konfigurieren configure
konfigurierend configuring
konfiguriert configured
konflikt conflict
konkurieren compete
konkurrent competitor
konkurrenten competitors
konkurs bankruptcy
konkurse bankruptcies
konsequent consequently
konsequenz consequence
konserviert conserved
konsole bracket
konstant constant
konstruieren construct
konstruierend constructing
konstruiert builds
konstruktion construction
kontakt contact
kontinente continents
kontinuierlich continuous
kontrast contrast
kontrollieren check
kontrolliert checked
konvention convention
konventionell conventional
konventionen conventions
konverter converter
konvertieren convert
konvertiert converted
konzentrierend concentrating
konzentriert lumped
konzentrierte concentrated
konzept concept
konzepte concepts
konzert concert
konzerte concerts
koordinate coordinate
koordinaten coordinates
koordination coordination
kopf pate
kopfkissen pillow
kopfnuesse clouts
kopfnuss clout
kopfschmerz headache
kopfschmerzen headache
kopfzeile headline
kopien copies
kopierbar copyable
kopieren copy
kopierend copying
kopiert copied
koppeln interlink
koppler coupler
koralle coral
korallen corals
korb basket
korn grain
korrekt correct
korrektur correction
korrekturen corrections
korrespondenz correspondence
korrespondieren correspond
korrespondiert corresponds
korrigierbar corrigible
korrigiert corrected
kosmetisch cosmetic
kosmische cosmic
kost food
kostbar precious
kostbarkeit costliness
kostbarkeiten costlinesses
kosten cost
kostend costing
kostet costs
kostspielig costly
kot excrement
kotelett chop
koteletts chops
kotfluegel mudguard
kotig mirily
kotletts cutlets
krabbe shrimp
krabbeln scrabble
krabbelnd crawling
krabbelt crawls
krabben crab
krachend cracking
kracht cracks
kraechzen caw
kraechzend cawing
kraechzt caws
kraefte strengths
kraeftig burly
kraeftigen innervate
kraeftigend innervating
kraeftigt innervates
kraehen crow
kraemer chandler
kraempfe cramps
kraenkeln ail
kraenkelnd ailing
kraenkelt ails
kraenken aggrieve
kraenkend aggrieving
kraenklich valetudinarian
kraenkt aggrieves
kraenkung mortification
kraenkungen mortifications
kraeuter herbs
kraft force
kraftfahrzeug autocar
kraftfahrzeuge autocars
kraftlos infirm
kraftvoll forceful
kragen collar
krakeelen roister
krakeelend brawling
krakeelt brawls
krakeelte brawled
kralle talon
krallen talons
krampf cramp
krampfader varicose
krampfadern varicoses
kran crane
kranich crane
kraniche cranes
krank diseased
krankenhaeuser hospitals
krankenhaus hospital
krankhaft morbid
krankheit disease
krankheiten diseases
kranz annulus
kranzfoermig annular
kratzen scrape
kratzend scraping
kratzt scrapes
kraut herb
krawate tie
krawatte necktie
krebs cancer
kreide chalk
kreis circle
kreischen squawk
kreischend shrieking
kreischt shrieks
kreise circles
kreisel- centrifugal
kreisen gyrate
kreisend gyrating
kreisfoermig circular
kreislaeufe circuits
kreislauf circuitry
kreisprozess cycle
kreist gyrates
kreml kremlin
kreuz cross
kreuzungen hybrids
kreuzwort crossword
kriechen crawl
kriechend creeping
kriecher creeper
kriecherei servility
kriechereien servilities
kriecht creeps
krieg war
kriege wars
krieger warrior
kriegerisch martial
krippe manger
krippen mangers
krise crises
kriterium criterion
kritik criticism
kritiker censors
kritisch critical
kritisieren criticize
kritzeln scrawl
kritzelnd scrawling
kritzelt scrawls
kroenung coronation
kroenungen coronations
kroete toad
kroeten toads
krone crown
kronen crowns
kronleuchter lustres
kruege jars
kruemel crumb
kruemelnd crumbing
kruemelt crumbs
kruemmen writhe
kruemmend crooking
kruemmt crooks
kruemmung crook
kruemmungen curvatures
krueppel cripple
krug jar
krumm crooked
kruste crust
krusten crusts
kuchen cake
kuckuck cuckoo
kuebel tub
kueche cuisine
kuechen cuisines
kuegelchen pellet
kuehe cows
kuehle coolness
kuehlen refrigerate
kuehlend refrigerating
kuehlmittel coolant
kuehlschraenke fridges
kuehlschrank refrigerator
kuehlt refrigerates
kuehlung cooling
kuehn audaciously
kuehner keener
kuehnheit hardihood
kuehnste keenest
kueken chicken
kuenftig future
kuenste arts
kuenstler artist
kuenstlerisch artistic
kuenstlich artificial
kuerbis pumpkin
kuerbisse gourds
kuerze brevity
kuerzen abridge
kuerzend abbreviating
kuerzer shorter
kuerzlich lately
kuerzt abbreviates
kuerzung abridgement
kuerzungen abridgements
kuessen kiss
kuessend kissing
kuesst kisses
kueste coast
kuesten coasts
kuester sexton
kugel ball
kugelfoermig spherical
kugeln bullets
kuh cow
kultivieren cultivate
kultivierend cultivating
kultiviert cultivates
kultivierte cultivated
kulturell cultural
kummer grief
kunde client
kunden clients
kundgebung manifestation
kundgebungen manifestations
kundschaft clientele
kunst art
kunstgerecht workmanlike
kunstgriff artifice
kunstseide rayon
kunststoff plastics
kunstvoll artful
kupfer copper
kuppel dome
kuppeln couple
kuppelnd pimping
kuppelt pimps
kuppler pimp
kurbelgehaeuse crankcase
kurbelwange crankweb
kurbelzapfen crankpin
kursiv cursive
kursivschrift italic
kurve bend
kurven curves
kurz brief
kurze short
kurzerhand shorthand
kurzwaren haberdashery
kurzwelle shortwave
kuscheln snuggle
kuschelnd snuggling
kuschelt snuggles
kuss kiss
kutsche coach
kutschen coaches
kutte cowl
kutten cowls
labyrinth maze
labyrinthe mazes
lachen laugh
lachend laughing
lachs salmon
lachse salmons
lacht laughs
ladeluftkuehlung intercooling
laden charge
ladend loading
ladentisch counter
ladeprogramm loader
ladungen cargos
laecheln simper
laechelnd simpering
laechelt simpers
laecherlich laughable
laedt charges
laeger storehouses
laehmen lame
laehmend palsying
laehmt palsies
laehmung palsy
laemmer lambs
laender countries
laendlich rural
laenge footage
laengen longitudes
laenger longer
laengsseits alongside
laengste longest
laerche larches
laerm din
laermend blatant
laermt fusses
laessig remiss
laesst lets
laestig burdensome
laetzchen bib
laeufer runner
laeuft runs
laeuse lice
laeuten ring
laeutend knolling
lagal legally
lage site
lager bearing
lagerhaus warehouse
lagern encamp
lagernd encamping
lagert encamps
lagerung storage
lahm lame
laienhaft unaware
lakritz licorice
lametta tinsel
lamm lamb
lampe lamp
lampen lamps
lampenschirm lampshade
lampenschirme lampshades
land country
landesgrenze frontier
landkarte map
landschaft landscape
landschaften landscapes
landstreicher tramp
landung landing
landwirt farmer
landwirtschaft husbandry
lang long
langeweile boredom
langlebigkeit longevity
langsam slow
langsamer slower
langschrift longhand
langweilig tedious
lanze lance
lappen lobe
larve larva
larven larvas
laser laser
lassen let
lassend letting
lasso lariat
lassos lariats
last burden
lasten encumbrances
lasterhaft vicious
lastwagen lorries
laterne lantern
laternen lanterns
latte lath
latten laths
lau tepid
laub foliage
laube bower
lauben bowers
lauch leeks
lauern lurk
lauernd lurking
lauert lurks
lauf course
laufend current
lauffaehig executable
lauffeuer wildfire
laufring race
laufwerk drive
laufwerke drives
laufzeit milage
laufzeiten milages
laune caprice
launen caprices
launisch capricious
laus louse
lausig lousily
laut aloud
laute lute
lauten lutes
lautlos soundless
lautstaerke loudness
lauwarm lukewarm
lavendel lavender
layout layout
layouts layouts
leben life
lebend living
lebendig alive
lebensalter age
lebenserwartung lifespan
lebensmittel provisions
lebensmittelgeschaeft grocery
lebensmittelgeschaefte groceries
lebensmittelhaendler grocer
lebensunfaehig unlivable
lebenszeit lifetime
leber liver
lebhaft bouncy
lebhaftigkeit liveliness
lebhaftigkeiten vivacities
lebkuchen gingerbread
leblos inanimate
lebt lives
lebte lived
lebzeiten lifetimes
leck leak
lecken leak
leckend lambent
lecker daintily
leckerbissen delicacies
leckerer daintier
leckerste daintiest
leckt leaks
leder buff
lediglich merely
leer blank
leere emptiness
leeren deplete
leerend blanking
leerer blanker
leerfelder spaces
leerlauf idle
leerstelle blankspace
leert depletes
leertaste spacebar
leerzeichen blanks
legal legal
legen put
legend laying
legenden fables
legieren alloy
legiert alloyed
legitimieren legitimate
legt poses
lehm clay
lehnen recline
lehnend leaning
lehnstuehle armchairs
lehnstuhl armchair
lehnt leans
lehre apprenticeship
lehren teach
lehrend teaching
lehrer teachers
lehrerin schoolmistress
lehrfach subject
lehrling apprentice
lehrlinge apprentices
lehrreich instructive
leib body
leibschmerzen stomach-ache
leibwaechter bodyguard
leichenhaft cadaverous
leichenhalle mortuary
leichenhallen mortuaries
leichenschauhaus morgue
leichentuch shroud
leichentuecher shrouds
leichenwagen hearse
leicht easy
leichtfertig frivolous
leichtfertigkeiten levities
leichtglaeubig credulous
leichtigkeit facility
leichtigkeiten facilities
leichtsinn flippancy
leichtsinnig flippant
leid harm
leiden suffer
leidend suffering
leidenschaft passion
leidenschaften passions
leidenschaftlich impassioned
leidet suffers
leidtragende mourners
leidtragender mourner
leihe loan
leihen lend
leihend lending
leihhaeuser pawnshops
leihhaus pawnshop
leiht lends
leim glue
leimend gluing
leimt glues
leinen linen
leise quiet
leiste ledge
leisten render
leistend rending
leistet renders
leistete rendered
leistungsaufnahme input
leistungsverhalten performance
leistungsvermoegen capacities
leiten conduct
leitend conducting
leiter ladder
leiterin managress
leitet directs
leitfaden textbook
leitfaeden textbooks
leitlinien guidelines
leitung conduction
leitungen conductions
leitungsnetz mains
lektion lesson
lektionen lessons
lektuere lecture
lende loin
lenkbar dirigible
lerche skylark
lerchen skylarks
lernen learn
lernend learning
lernt learns
lernte learned
lesbar legibly
lesbarkeit legibility
lesen read
lesend reading
leser reader
leserlich legible
letzte hindmost
letzter ultimate
letztlich lately
letztmalig ultimately
leuchtend luminous
leuchter candlestick
leugnen denial
leute folk
leutselig affable
licht light
lichtung glade
lichtungen glades
lid lid
lider lids
liderlich lewd
lieb brave
liebaeugeln ogle
liebaeugelnd ogling
liebaeugelt ogles
liebaeugelte ogled
liebe dear
lieben love
liebend loving
liebenswert lovable
liebenswuerdig amiable
liebevoll affectionate
liebkosen caress
liebkosend caressing
liebkost caresses
liebkoste caressed
lieblich lovely
liebling darling
lieblinge pets
lieblos uncharitable
liebt loves
lied song
lieder ballads
lief ran
lieferant supplier
lieferanten suppliers
lieferbar deliverable
liefern supply
liefert affords
lieferte supplied
lieferung delivery
liegen lie
liegend horizontal
liegt lies
liest reads
liga league
lightpens lightpens
lilie lilly
lilien lillies
limonade lemonade
limousine sedan
limousinen sedans
lindern palliate
lindernd allaying
lindert alleviates
linderungsmittel palliative
linear linear
linie line
linienfahrzeug liner
liniiert lined
linke left
linkt links
linse lens
linsen lenses
lippe lip
lippen lips
lippenstift lipstick
lippenstifte lipsticks
liqidationen liquidations
lispeln lisp
lispelnd lisping
lispelt lisps
list wile
liste list
listen wiles
listet lists
listings listings
liter litre
literarisch literarily
literatur literature
lizensieren licensee
lizensiert licensed
lizenz liscense
lizenzen licenses
lizenzgeber licensor
lizenznehmer licensee
lob praise
loben laud
lobend lauding
lobenswert laudable
lobt lauds
lobte laudet
loch hole
locke curl
locken entice
lockend enticing
locker lax
lockernd limbering
lockt entices
loecher holes
loeffel spoon
loeffelnd spooning
loeschbar erasable
loeschen clear
loeschend cancelling
loescher blotter
loescht erases
loesen solve
loesend detaching
loeslich soluble
loest disengages
loesung lotion
loesungen lotions
loesungsmittel solvent
loeten solder
loetend soldering
loetet solders
loewe lion
loewen lions
loewin lioness
logarithmisch logarithmic
logisch logical
logische logic
logos logos
lohnempfaenger wage-earner
lohnen remunerate
lohnend remunerating
lohnt remunerates
lokalisieren locate
londoner cockney
lorbeer laurel
losbinden unbind
losbindend unbinding
losgekoppelt uncoupled
losgeschraubt unscrewed
loskoppeln uncouple
loskoppelnd uncoupling
losschrauben unscrew
losschraubend unscrewing
losung watchword
losungen watchwords
lot plummet
luchs lynx
luchse lynxes
luecke gap
luecken gaps
luefter fan
luege lie
luegner liar
luemmel boor
luester chandelier
luestern lascivious
luesternd lasciviously
luestling voluptuary
luestlinge voluptuaries
luft air
luftig aerial
luftpost air-mail
luftroehre windpipe
luftroehren windpipes
luftschlitz louvre
luftspiegelung mirage
luftspiegelungen mirages
luftstrom airflow
lufttaxen aerocabs
lufttaxi aerocab
lumpensammler ragman
lunge lung
lungen lungs
lungenentzuendung pneumonia
lupine lupin
lupinen lupins
lust delight
lustig frolicsome
lustlos listless
lustspiel comedy
luxurioes luxurious
luxus luxuries
lynchen lynch
lynchend lynching
lyncht lynches
lyrisch lyric
mB mbyte
mInnesaenger minstrel
mSDOS msdos
machen make
machend making
macher wright
macht makes
macros macros
made maggot
maden maggots
maechtig mightily
maedchen girl
maedchenhaft girlish
maedchenzeit girlhood
maehen mow
maehend mowing
maehne mane
maehnen manes
maeht mowes
maengel deficiencies
maenner men
maennlich male
maennlichkeit manhood
maennlichkeiten virilities
maentel cloaks
maerchen fairy-tale
maerkte markets
maertyrer martyr
maerz mar
maessig abstemious
maessigen temper
maessigend moderating
maessigt moderates
maessigung moderation
maessigungen temperances
maesten cram
maestend cramming
maestet crams
maetzchen hokum
maeuse mice
mag likes
magazin magazine
magen stomach
magenta magenta
mager gaunt
magisch magic
magnet lodestone
magnete lodestones
magnetisch magnetic
magnetismus magnetism
mahl dinner
mahlend milling
mahlzeit meal
mahlzeiten meals
mahnen dun
mahnend dunning
mahnt duns
mai may
maibaeume maypoles
maibaum maypole
mais corn
majestaet majesty
majestaetisch majestic
makaroni macaroni
makler broker
makrele mackerel
makrelen mackerels
makro macro
makrone macaroon
makronen macaroons
malen paint
maler painter
malerisch pictorial
malt paints
malz malt
manager manager
manchmal sometime
mandarine tangerine
mandarinen tangerines
mandat mandate
mandate mandates
mandel tonsil
mandelentzuendung quinsy
mandelentzuendungen quinsies
mandeln tonsils
mangel deficiency
mangelhaft defectively
mangelhafte defectiv
manierlich mannerly
manipulation manipulation
manipulationen manipulations
manipulieren gerrymander
manipulierend manipulating
manipuliert manipulated
mann man
mannhaft manful
mannigfaltig multifarious
mannschaft team
mannschaften teams
mannschaftsfuehrer teamster
manoevrieren manoeuvre
manschette sleeve
manschetten wristbands
mantel cloak
manual manual
manuale manuals
manuell manually
marder marten
mark marrow
marke marker
markieren mark
markierend marking
markiert marked
markierung indentation
markierungen indentations
markig marrowy
markt market
marktfaehig marketable
marktplatz marketplace
marktschreier mountebank
marmelade jam
marmor marble
marsch march
marschierend marching
marschiert marches
marschierte marched
marternd martyring
martert martyrs
masche mesh
maschen meshes
maschine engine
maschinen machines
maschinenbau engineering
maschinerien machineries
masern measles
maske mask
masken masks
maskerade masquerade
maskeraden masquerades
maskierbar maskable
maskierend masking
maskierte masked
maskottchen mascot
mass gauge
masse metrics
masseinheit measurement
massen bulks
massenhaft plentiful
massieren massage
massierend massaging
massiert massages
massierte massaged
massig bulky
massiv massive
massive massifs
masslos exorbitant
massnahme sanction
massnahmen sanctions
mast mast
masten masts
material material
materialien materials
mathematiker mathematician
mathematisch algebraic
mathematische mathematics
matratze mattress
matratzen mattresses
matrix matrix
matrose sailor
matsch sludge
matt dull
matte mat
matten mats
mattigkeit languor
mauer wall
mauer- mural
maultier mule
maultiere mules
maulwurfshuegel molehill
maurer bricklayer
maus mouse
mausen pilfer
mausend pilfering
mausern molt
mausernd molting
mausert molts
maxima maximums
maximal maximal
maximierend maximizing
maximum maximum
mechaniker mechanic
mechanisch mechanical
mechanisieren mechanize
mechanisierend mechanizing
mechanisiert mechanizes
mechanisierte mechanized
mechanismus mechanism
medaillon locket
medaillons lockets
medizin medicine
medizinisch medicinal
medizinische medical
meer sea
meere oceans
meeresfruechte seafood
megabyte megabyte
mehl flour
mehltau mildew
mehr more
mehrdeutig equivocal
mehrdeutige ambiguous
mehrere several
mehrfach multiple
mehrfache multilple
mehrheit majority
mehrheiten majorities
mehrnamig polynomial
mehrstufig multistage
mehrzahl plural
meiden eschew
meidend eschewing
meidet eschews
meile mile
meilen miles
meilenstein cornerstone
meilensteine milestones
mein mine
meine my
meineid perjury
meineide perjuries
meinen opine
meinend opining
meint opines
meinte opined
meinung opinion
meinungen opinions
meise titmouse
meisen titmice
meissel chisel
meist almost
meistens mostly
meisterhaft masterful
meisterschaft championship
meisterschaften championships
meisterstueck masterpiece
meisterstuecke masterpieces
melden notify
meldung message
meldungen messages
melkend milking
melkt milks
melodie melody
melodien melodies
melodisch tuneful
melone melon
melonen melons
menge crowd
mengen crowds
menschenfeind misanthrope
menschenfeinde misanthropes
menschenfresser ogre
menschenfreund philanthropist
menschheit mankind
menschlich human
menschlichkeit humanity
mentalitaet mentality
mentalitaeten mentalities
menue menu
menues menus
menuett minuet
menuette minuets
meridian meridian
merkbar appreciable
merkend perceiving
merkmale tees
messbar measurable
messend measuring
messer knife
messgeraet gauge
messing brass
messstab dipstick
messungen measurements
metall metal
metalle metals
metallisch metallic
metallueberzug plating
metapher metaphor
metaphern metaphors
meteor meteor
meteore meteors
meter meter
methode method
methoden methods
methodisch methodic
metrisch metric
metzger butcher
meuterei mutiny
meutereien mutinies
meuterer mutineer
mexikanisch mexican
mgnetisch magneticly
miauen miaow
miauend miaowing
miaut miaows
miaute miaowed
micro- micro
microsekunde microsecond
microvolt microvolt
miene air
mienen miens
miete lease
mieten rent
mietend leasing
mieter lodger
mietet leases
mietshaus tenement
mietwohnung flat
mikrocomputer microcomputers
mikrofon microphone
mikrofone microphones
mikroprozessor microprocessor
mikrosekunden microseconds
mikroskop microscope
mikroskope microscopes
milch milk
milchig milky
milchmaenner milkmen
milchmann milkman
mild clement
milde clemency
milder milder
mildern mitigate
mildernd mitigating
mildert mitigates
mildeste mildest
militaerisch militarily
milliarde billions
millimeter millimeter
millionaer millionaire
millionaere millionaires
millionste millionth
millisekunden milliseconds
mimisch mimic
minderheit minority
minderheiten minorities
minderjaehriger minor
minderjaehrigkeit nonage
minderwertigkeit inferiority
minderwertigkeiten inferiorities
mineral mineral
mineralisch minerally
mineralwasser minerals
minimale minimal
minimieren minimize
minimierend minimizing
minimiert minimized
minimum minimum
ministerien ministries
ministerium ministry
minnesaenger minstrels
minus minus
minute minute
minuten minutes
minze mint
mir me
mischbar mergeable
mischen blend
mischend merging
mischling hybrid
mischlinge mongrels
mischmasch hotpotch
mischt mashs
mischung mixture
missbilligen disapprove
missbilligend disapproving
missbilligt disapproves
missbilligte disapproved
missbilligung disapprobation
missbilligungen disapprovals
missbrauch misusage
missbrauchen abuse
missbrauchend abusing
missbraucht abused
missdeuten misconstrue
missdeutend misconstruing
missdeutet misconstrues
misserfolg failure
missfaellt displeases
missfallen displease
missfallend displeasing
missgedeutet misconstrued
missgeschick misadventure
missgoennen begrudge
missgoennend grudging
missgoennt begrudges
missgoennte begrudged
misshandeln maltread
misshandelnd maltreating
misshandelt maltreads
misslingen miscarry
misslingend miscarrying
misslingt miscarries
misslungen failed
missstaende nuisances
missstand nuisance
misstrauen distrust
misstrauend distrusting
misstrauisch distrustful
misstraut distrusts
misstraute distrusted
missverstanden misapprehended
missverstehen misapprhend
missverstehend misconceiving
missversteht misapprehends
mist muck
mistel mistletoe
misteln mistletoes
mistgabel muckrake
mistgabeln muckrakes
mit communicatekorrespondiert
miteinander together
miterbe coheir
miterben coheirs
mitesser blackhead
mitgefuehl sympathy
mitgewirkt concured
mitglied member
mitgliedschaft membership
mitgliedschaften memberships
mitleid charity
mitleidig compassionate
mitleit pity
mitschleppen inherit
mitschueler schoolfellow
mitschuld complicity
mittag midday
mittage noons
mittagessen lunch
mitte centre
mitteilen acquaint
mittel means
mittel- medial
mittelalterlich mediaeval
mittellos penniless
mittelmaessig mediocre
mittelmeer- mediterranean
mittelsmaenner middlemen
mittelsmann middleman
mittelste midmost
mitten middles
mitternacht midnight
mittig concentric
mittwoch wednesday
mitwirkend concuring
mitwirkung concurrence
mixer blender
mode fashion
modell model
modelle models
modem modem
modems modems
moderig frowstily
modern fashionable
moderner moderner
modernisieren modernize
modernisierend modernizing
modernisiert modernized
modernste modernest
modisch fashionable
modistin milliner
modistinnen milliners
modrig moldily
module module
modulierend modulating
moduliert modulates
modulierte modulated
modus mode
moebel furniture
moegend liking
moeglich possible
moegliche eventual
moeglicherweise possibly
moeglichkeit possibility
moehre carrot
moehren carrots
moench friar
moenche friars
moenchisch monkish
moepse pugs
moerder assassin
moerderin murderess
moertel mortar
moewe gull
moewen gulls
molkerei dairy
moment instant
momente moments
monat month
monate monthes
monatlich monthly
mond moon
mond- lunar
monde moons
mondhell moonlit
mondlicht moonlight
mondsuechtig moonstruck
monitor monitor
monitore monitors
monochrom monochromatic
monsun monsoon
montag monday
montage assembly
montagen fittings
monteur fitter
monumental monumentally
moor fen
moore fens
moos moss
moosig mossy
mop mop
mops pug
morast morass
mord murder
morgen tomorrow
morgendaemmerung dawn
morgenemfang levee
morgenempfaenge levees
morphium morphia
morse morse
mosaik mosaic
mosaiken mosaics
moschee mosque
moscheen mosques
moschus musk
moskito mosquito
moskitos mosquitos
motiv motif
motiviert motived
motor motor
motorhaube bonnet
motorisieren motorize
motorisierend motorizing
motorisiert motorized
motorradfahrer motorcyclist
motte moth
motten mothes
muecke gnat
muecken gnats
muede tired
muedigkeit weariness
muedigkeiten wearinesses
muehe trouble
muehelos effortlessly
muehevoll troublesome
muehle mill
muehlen mills
muehlstein millstone
muehlsteine millstones
muehsam arduous
mueller miller
muender mouthes
muendlich oral
muendung orifice
muendungen orifices
muenze coin
muenzen coins
muerbe mellow
muerrisch glum
muessen must
muessig truantly
muetter mothers
muetterlich maternal
muetze cap
muff muff
muffig mustily
mull mull
multicolor multicolor
multifrequenz multifrequency
multiplikation multiplication
mund mouth
mundart idiom
mundstueck mouthpiece
mundvoll mouthful
munition munitions
munter jauntily
murmeln mumble
murmelnd mumbling
murmelt mumbles
murren grumble
murrend grumbling
murrt grumbles
mus mush
muschel mussel
muscheln scallops
museen museums
museum museum
musik music
musikalisch musical
musikpavillon bandstand
muskatnuesse nutmegs
muskatnuss nutmeg
muskel muscle
muskeln muscles
muskuloes brawny
musse leisure
muster sample
mut audacity
mutig audacious
mutiplizieren multiply
mutlosigkeit chill
mutter mother
mutterschaft maternity
muttersprache mother-tongue
myrrhe myrrh
mystisch mystic
mythen myths
mythos myth
nabe hub
nabel navel
nach after
nachahmend simulating
nachahmung imitation
nachahmungen imitations
nachbar neighbor
nachbarlich neighborly
nachbarn neighbors
nachbarschaft neighborhood
nachbarschaften vicinities
nachbilden emulate
nachbildend cloning
nachbildung emulation
nachdem having
nachdenken cogitate
nachdenkend meditating
nachdenklich contemplative
nachdruck emphasis
nachdruecklich emphatic
nacherwaermen reheat
nacherwaermung reheat
nachforschung search
nachgeahmt emulated
nachgebend relenting
